Rouge Type,Filename,ROUGE-1,ROUGE-1,ROUGE-1,ROUGE-2,ROUGE-2,ROUGE-2,ROUGE-3,ROUGE-3,ROUGE-3,ROUGE-4,ROUGE-4,ROUGE-4,ROUGE-L,ROUGE-L,ROUGE-L,ROUGE-W-1.2,ROUGE-W-1.2,ROUGE-W-1.2,ROUGE-S*,ROUGE-S*,ROUGE-S*,ROUGE-SU*,ROUGE-SU*,ROUGE-SU*
Metric,,Average_P,Average_R,Average_F,Average_P,Average_R,Average_F,Average_P,Average_R,Average_F,Average_P,Average_R,Average_F,Average_P,Average_R,Average_F,Average_P,Average_R,Average_F,Average_P,Average_R,Average_F,Average_P,Average_R,Average_F
0,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-96-article_output,0.62411,0.70968,0.66415,0.40925,0.46559,0.43561,0.32857,0.37398,0.34981,0.26165,0.29796,0.27863,0.5461,0.62097,0.58113,0.33636,0.18948,0.24241,0.38207,0.49425,0.43098,0.38377,0.49597,0.43272
1,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-sumbasic-sent-token-114-article_output,0.89109,0.4918,0.6338,0.75,0.41209,0.53192,0.65657,0.35912,0.46429,0.57143,0.31111,0.40288,0.88119,0.48634,0.62676,0.60401,0.17241,0.26825,0.75584,0.22921,0.35175,0.75845,0.23202,0.35534
2,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-189-article_output,0.65625,0.19091,0.29578,0.42857,0.12329,0.19149,0.40323,0.11468,0.17857,0.39344,0.1106,0.17266,0.59375,0.17273,0.26761,0.48814,0.07073,0.12356,0.37004,0.03097,0.05716,0.37855,0.03237,0.05964
3,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lsa-sent-token-180-article_output,0.80392,0.45556,0.58156,0.68,0.38202,0.48921,0.65306,0.36364,0.46716,0.64583,0.35632,0.45926,0.80392,0.45556,0.58156,0.69614,0.19957,0.31021,0.56078,0.17853,0.27084,0.56981,0.18442,0.27865
4,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-155-article_output,0.75524,0.78545,0.77005,0.56491,0.58759,0.57603,0.48239,0.50183,0.49192,0.42756,0.44485,0.43603,0.72028,0.74909,0.7344,0.40635,0.20734,0.27458,0.55475,0.60011,0.57654,0.55614,0.60144,0.5779
5,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-129-article_output,0.67339,0.69008,0.68163,0.51822,0.53112,0.52459,0.47561,0.4875,0.48148,0.45306,0.46444,0.45868,0.64919,0.66529,0.65714,0.44223,0.22232,0.29589,0.45142,0.47413,0.4625,0.45318,0.47589,0.46426
6,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-99-article_output,0.92632,0.68217,0.78572,0.82979,0.60938,0.70271,0.76344,0.55906,0.64546,0.70652,0.51587,0.59633,0.92632,0.68217,0.78572,0.70594,0.24079,0.3591,0.69586,0.37633,0.48848,0.70059,0.38096,0.49354
7,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-1-sent-token-202-article_output,0.62185,0.51389,0.56274,0.50847,0.41958,0.45977,0.46154,0.38028,0.41699,0.43966,0.3617,0.39689,0.62185,0.51389,0.56274,0.46412,0.18558,0.26514,0.37601,0.25641,0.3049,0.38003,0.25989,0.30868
8,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-219-article_output,0.82857,0.69048,0.75325,0.73529,0.60976,0.66667,0.63636,0.525,0.57534,0.5625,0.46154,0.50704,0.65714,0.54762,0.5974,0.58556,0.23107,0.33137,0.61176,0.42276,0.5,0.62321,0.43459,0.51208
9,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-230-article_output,0.72432,0.66833,0.6952,0.60705,0.56,0.58258,0.5625,0.5188,0.53977,0.54496,0.50251,0.52287,0.71081,0.65586,0.68223,0.49003,0.20551,0.28958,0.51578,0.43903,0.47432,0.5169,0.44016,0.47545
10,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-159-article_output,0.87755,0.33594,0.48588,0.8125,0.30709,0.44572,0.74468,0.27778,0.40463,0.71739,0.264,0.38596,0.85714,0.32812,0.47457,0.73869,0.14097,0.23676,0.7568,0.1095,0.19132,0.76225,0.11302,0.19685
11,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-171-article_output,0.68831,0.67089,0.67949,0.57895,0.5641,0.57143,0.49333,0.48052,0.48684,0.44595,0.43421,0.44,0.67532,0.65823,0.66667,0.54317,0.24636,0.33897,0.45284,0.43006,0.44116,0.45836,0.43558,0.44668
12,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lsa-sent-token-201-article_output,0.8453,0.71831,0.77665,0.77222,0.65566,0.70918,0.73743,0.62559,0.67692,0.7191,0.60952,0.65979,0.8453,0.71831,0.77665,0.56055,0.23877,0.33489,0.70497,0.50864,0.59092,0.70656,0.51062,0.59282
13,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-1-sent-token-193-article_output,0.83854,0.77778,0.80702,0.7801,0.7233,0.75063,0.75263,0.69756,0.72405,0.73016,0.67647,0.70229,0.83854,0.77778,0.80702,0.52013,0.24923,0.33699,0.41209,0.35439,0.38107,0.41647,0.35843,0.38528
14,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-kldiv-sent-token-195-article_output,0.71014,0.59036,0.64473,0.55882,0.46341,0.50666,0.50746,0.41975,0.45946,0.48485,0.4,0.43836,0.68116,0.56627,0.61842,0.36017,0.16074,0.22228,0.45013,0.31031,0.36737,0.45775,0.31707,0.37464
15,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-sumbasic-sent-token-217-article_output,0.84043,0.43169,0.57039,0.64516,0.32967,0.43636,0.57609,0.29282,0.38828,0.52747,0.26667,0.35425,0.78723,0.40437,0.53429,0.5932,0.13898,0.2252,0.64562,0.16946,0.26846,0.64964,0.17226,0.27231
16,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-129-article_output,0.60741,0.67769,0.64063,0.43494,0.48548,0.45882,0.39925,0.44583,0.42126,0.37453,0.41841,0.39526,0.58148,0.64876,0.61328,0.39477,0.21606,0.27927,0.35556,0.44278,0.39441,0.3574,0.4447,0.3963
17,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-113-article_output,0.73259,0.72055,0.72652,0.60056,0.59066,0.59557,0.55462,0.54545,0.55,0.51966,0.51105,0.51532,0.71588,0.70411,0.70995,0.46426,0.21572,0.29457,0.52967,0.51237,0.52088,0.53079,0.5135,0.522
18,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lexrank-sent-token-177-article_output,0.82558,0.75936,0.79109,0.74854,0.68817,0.71709,0.72353,0.66486,0.69296,0.70414,0.64674,0.67422,0.81395,0.74866,0.77994,0.59284,0.27934,0.37975,0.67931,0.57444,0.62249,0.68098,0.57638,0.62433
19,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-127-article_output,0.73913,0.17,0.27642,0.45588,0.10368,0.16894,0.37313,0.08389,0.13698,0.36364,0.08081,0.13223,0.66667,0.15333,0.24932,0.49692,0.05496,0.09897,0.51194,0.02678,0.0509,0.51864,0.02773,0.05265
20,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-kldiv-sent-token-156-article_output,0.79747,0.57014,0.66491,0.64968,0.46364,0.54112,0.58333,0.41553,0.48534,0.53548,0.38073,0.44504,0.77848,0.55656,0.64908,0.54274,0.18734,0.27854,0.60445,0.30839,0.40841,0.60685,0.31072,0.411
21,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-sumbasic-sent-token-138-article_output,0.81034,0.53008,0.64091,0.57225,0.37358,0.45205,0.47093,0.30682,0.37156,0.39766,0.25856,0.31337,0.78161,0.51128,0.61818,0.47831,0.15369,0.23263,0.6276,0.26801,0.37562,0.62966,0.26995,0.37789
22,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-kldiv-sent-token-231-article_output,0.46927,0.46154,0.46537,0.08989,0.0884,0.08914,0.02825,0.02778,0.02801,0.01136,0.01117,0.01126,0.41899,0.41209,0.41551,0.24181,0.13425,0.17265,0.20137,0.19477,0.19802,0.20436,0.19769,0.20097
